paper_id	triage_category	is_core_for_modeling	main_track	target_product_type	quote_grounded	rationale	evidence_quote	error	model	run_id
serum-free-media-for-the-growth-of-primary-bovine-myoblasts	A	yes	medium	muscle	no	Directly addresses serum-free medium for bovine myoblasts, a core cultivated-meat technology, with quantitative proliferation data (MTS assay) and comparison of commercial xeno-free media and supplements, providing extractable medium formulation insights.	We aimed to identify a serum-free medium or a serum-replacement that is as effective as the current method used for culturing bovine myoblasts. ... MTS was used as a measure of cell proliferation at day 1, 4 or 6 ... FBMTM, TesRTM and Essential 8TM are commercially available xeno-free media ... with		deepseek-chat	20260715T010026
simple-and-effective-serum-free-medium-for-sustained-expansion-of-bovine-satelli	A	yes	medium	muscle	no	Directly addresses the core medium-centered challenge of serum-free expansion of bovine satellite cells, providing extractable quantitative data on growth rates, cost comparisons, and formulation details (Beefy-9 medium).	Here, we validate a simple, B8-inspired serum-free media, termed 'Beefy-9', for culturing primary bovine satellite cells (BSCs)... we show that supplementation with just one animal-free component (recombinant human albumin, expressed in rice) makes Beefy-9 media effective for BSC expansion in vitro,		deepseek-chat	20260715T010026
spent-media-analysis-suggests-cultivated-meat-media-will-require-species-and-cel	A	yes	medium	muscle	no	Directly addresses culture medium optimization for cultivated meat through spent media analysis, providing quantitative nutrient utilization data across species and cell types, which is core to the medium-centered focus.	Spent media analysis suggests cultivated meat media will require species and cell type optimization... we perform spent medium analysis to compare the specific nutrient utilization of primary embryonic chicken muscle precursor cells and fibroblasts to the murine C2C12 myoblast cell line.		deepseek-chat	20260715T010026
standardising-culture-medium-safety-testing-for-cultivated-meat-outputs-from-a-w	A	yes	medium	general/platform	yes	Directly addresses culture medium safety testing for cultivated meat, including a case study on ELISA quantification of growth factors, which is central to medium-centered safety assessment and provides extractable methodological detail.	The aim of this work was two-fold: first, to convene a multi-stakeholder workshop to identify knowledge gaps related to culture medium safety assessment, and second, to provide a case study addressing one knowledge gap through the evaluation of ELISAs for quantifying growth factors in culture media 		deepseek-chat	20260715T010026
the-comparison-of-commercial-serum-free-media-for-hanwoo-satellite-cell-prolifer	A	yes	medium	muscle	no	Directly compares multiple commercial serum-free media for satellite cell proliferation, identifies FGF2 as the key factor via FGFR1 signaling, and provides quantitative/mechanistic data (qPCR, western blot, inhibitor study) that are extractable for medium optimization.	Six different serum-free media were selected, and the HWSC proliferation rates in these serum-free media were compared with that of control medium supplemented with 20% FBS. Among the six media, cell proliferation rates were higher only in StemFlex™ Medium (SF) and Mesenchymal Stem Cell Growth Mediu		deepseek-chat	20260715T010026
the-fibronectin-concentration-that-optimally-maintains-porcine-satellite-cells	A	yes	medium	muscle	no	Directly relevant to cultivated meat medium technology: it provides extractable quantitative data on optimal fibronectin concentration (5 μg/mL) for long-term maintenance of porcine satellite cells, a key cell type for muscle production. The paper includes doubling time, cell cycle, and Pax7/MyoD1 e	The concentration of 5 μg/mL fibronectin coated dishes showed the lowest doubling time and maintained expression of Pax7.		deepseek-chat	20260715T010026
the-l-ascorbic-acid-increases-proliferation-and-differentiation-of-yanbian-cattl	A	yes	medium	muscle	no	Directly relevant to cultivated-meat medium optimization: investigates a food-grade, low-cost supplement (L-ascorbic acid) for enhancing proliferation and differentiation of bovine satellite cells, with quantitative mechanistic data (Akt/mTOR/P70S6K pathway) and explicit aim to reduce production cos	AA up-regulated the expression of p-Akt, p-mTOR, and p-P70S6K genes and proteins... data suggest that AA regulates the proliferation and differentiation of BSCs by activating the AKT/mTOR/P70S6K signaling pathway. These data provide a practical approach and theoretical basis for the efficient and lo		deepseek-chat	20260715T010026
the-role-of-insulin-in-the-proliferation-and-differentiation-of-bovine-muscle-sa	A	yes	medium	muscle	no	Directly investigates insulin as a serum-replacement growth factor for bovine muscle satellite cell proliferation and differentiation, providing quantitative data on proliferation rates, marker expression, and creatine kinase activity, which is highly extractable for medium optimization.	Insulin most effectively promoted MSC proliferation and differentiation. Specifically, insulin increased cell proliferation rates, proliferation markers Ki67 and PCNA expressions, and markers of differentiation, such as myotube formation and creatine kinase activity, alongside the expressions of MYO		deepseek-chat	20260715T010026
the-roles-of-growth-factors-and-hormones-in-the-regulation-of-muscle-satellite-c	A	yes	medium	muscle	no	Directly addresses the core medium-centered focus by systematically reviewing the roles of specific growth factors (FGF, IGF-1, PDGF, TGF-β) and hormones (insulin, testosterone, dexamethasone, thyroid hormones) in muscle satellite cell regulation for cultured meat, providing extractable mechanistic 	In this review, we investigated the roles of growth factors and hormones during cultured meat production because these factors provide signals for MSC growth and structural stability. ... The roles of several GFs and hormones during myogenesis for cultured meat production are summarized in Table 1.		deepseek-chat	20260715T010026
toward-fgf2-reduction-in-cultured-meat-media-polyphenol-salts-enhance-growth-and	A	yes	medium	muscle	no	Directly addresses a core medium-centered challenge—reducing recombinant FGF2 cost via polyphenol salts—with quantitative data on proliferation, differentiation, and EC50 values in bovine embryonic stem cell aggregates, providing extractable mechanistic and performance metrics.	NaCur significantly enhanced aggregate growth under reduced FGF2 conditions, restoring proliferation to levels exceeding those observed with 20 ng/mL FGF2 alone. Additionally, NaCur supported mesodermal differentiation, as indicated by Brachyury expression, when combined with low-dose FGF2.		deepseek-chat	20260715T010026
valorisation-of-spent-cultivated-meat-media-for-recombinant-fgf2-production-in-g	A	yes	medium	seafood	yes	Directly addresses a core medium-centered challenge—cost of growth factors—by demonstrating valorization of spent culture medium to produce recombinant FGF2, with quantitative yields (2.6 mg/L) and a functional test on a fish pre-adipocyte cell line, providing extractable data for medium cost reduct	Bioreactor fermentation at a 1 L scale confirmed purified yields of 2.6 mg/L of recombinant FGF2-G3 using spent media. Further functional testing indicated that the recombinant FGF2-G3 can promote cell proliferation on an Anguilla japonica (Japanese eel) pre-adipocytic cell line, suggesting its pote		deepseek-chat	20260715T010026
valorization-of-hemp-shrimp-and-blue-crab-co-products-as-novel-culture-media-ing	A	yes	medium	muscle	yes	Directly addresses the core medium-centered challenge of replacing FBS with sustainable, food-grade supplements, providing quantitative data on cell viability, proliferation, and intracellular protein accumulation for multiple hydrolysates at defined concentrations.	At the concentration of 11.7 mg/mL, no significant differences in cell viability were observed between hydrolysates and 10% FBS at 24 and 48 h. ... Intracellular protein accumulation at 72 h in 10% FBS- and SH-treated cells was equal to 24.66 ± 1.37 and 18.79 ± 1.99 µg/mg, respectively, and 5.75 ± 2		deepseek-chat	20260715T010026
vitamin-c-and-n-acetylcysteine-promote-bovine-adipose-derived-mesenchymal-stem-c	A	yes	medium	fat	no	Directly relevant to culture medium supplementation for cultivated meat: tests two food-grade antioxidants (VC and NAC) at specific concentrations (200 µM and 2 mM) with quantitative data on proliferation, differentiation, and signaling pathway activation in bovine AD-MSCs, providing extractable mec	This research concludes that NAC (2 mM) and VC (200 μM) improved the proliferation, differentiation potential, and stemness by decreasing oxidative stress and senescence, parallelly activating Akt/mTOR/P70S6K signaling pathway, while combined treatment (NAC+VC) enhanced these effects, providing base		deepseek-chat	20260715T010026
yap-promotes-cell-proliferation-and-stemness-maintenance-of-porcine-muscle-stem	A	yes	medium	muscle	no	Directly addresses a key bottleneck in cultivated meat production (large-scale MuSC expansion under high density) by mechanistically characterizing YAP signaling and testing a small-molecule activator (LPA), providing extractable quantitative and mechanistic detail relevant to culture medium optimiz	When treated with lysophosphatidic acid (LPA), the activator of YAP, porcine MuSCs exhibit increased proliferation and elevated differentiation potential compared with control cells. Moreover, constitutively active YAP with deactivated phosphorylation sites, but not intact YAP, promotes cell prolife		deepseek-chat	20260715T010026
3d-co-printing-and-substrate-geometry-influence-the-differentiation-of-c2c12-ske	B	no	structured_tissue	muscle	no	The paper focuses on 3D co-printing and substrate geometry effects on C2C12 myoblast differentiation, which is relevant to structured tissue engineering but provides no extractable data on culture medium composition, serum reduction, growth factors, or food-grade supplements. It is supplementary to 	Cells are influenced by several biomechanical aspects of their microenvironment, such as substrate geometry... the effect of substrate geometry on the myogenic differentiation process is not clear and needs to be further investigated.		deepseek-chat	20260715T010026
a-comparative-study-on-the-taste-characteristics-of-satellite-cell-cultured-meat	B	no	quality_characterization	muscle	yes	The paper focuses on taste characterization of cultured muscle tissue, not on culture medium composition or optimization. It mentions the growth medium composition only as a method detail without any quantitative or mechanistic analysis of medium components.	The proliferation medium (PM) was a mixture of 30% FBS, 1% Glutamax, and 5 ng/mL bFGF in glucose-free DMEM and used as a growth medium for the satellite cells. Differentiation media (DM) was composed of 2% horse serum in DMEM for inducing myotubes.		deepseek-chat	20260715T010026
adipose-tissue-engineering-based-on-the-controlled-release-of-fibroblast-growth	B	no	scaffold	fat	no	The paper describes an in vivo murine model for adipose tissue engineering using controlled release of FGF-2 from gelatin microspheres in a collagen matrix, but it is not centered on culture medium optimization, serum reduction, or food-grade supplements for cultivated meat. The extractable value fo	FGF-2 was impregnated into biodegradable gelatin microspheres for its slow release. The chambers were filled with these microspheres suspended in 60 µL collagen gel.		deepseek-chat	20260715T010026
alginate-type-and-rgd-density-control-myoblast-phenotype	B	no	scaffold	muscle	no	The paper focuses on biomaterial design (alginate type and RGD density) for myoblast adhesion, proliferation, and differentiation, which is relevant to scaffold design for cultivated meat but does not address culture medium composition, serum reduction, growth factors, or food-grade supplements. It 	We hypothesized that we could control the function of cells adherent to RGD-modified alginate hydrogels by varying alginate polymer type and cell adhesion ligand density, and we have addressed this possibility by studying the proliferation and differentiation of C2C12 skeletal myoblasts adherent to 		deepseek-chat	20260715T010026
an-in-vitro-model-using-spheroids-laden-nanofibrous-structures-for-attaining-hig	B	no	scaffold	muscle	yes	The paper focuses on scaffold design (spheroid-laden nanofibers) for myoblast alignment and differentiation, with no extractable quantitative or mechanistic detail on culture medium composition, serum reduction, growth factors, or food-grade supplements. It is supplementary to the medium-centered re	The spheroid-electrospinning was used to align spheroids directly by embedding them in aligned alginate nanofibers... Results suggested that the in vitro model using electrospun spheroids could potentially be employed to understand myogenic responses for various in vitro drug tests.		deepseek-chat	20260715T010026
bioprocess-design-considerations-for-cultured-meat-production-with-a-focus-on-th	B	no	bioprocess	muscle	no	The paper focuses on bioreactor design and bioprocess scale-up, not on culture medium composition, serum reduction, or food-grade supplements. It lacks extractable quantitative or mechanistic detail on medium components.	The media requirements can be evaluated in two ways; (i) the media required to satisfy the minimum workin...		deepseek-chat	20260715T010026
bovine-satellite-cells-isolated-after-2-and-5-days-of-tissue-storage-maintain-th	B	no	cell	muscle	no	The paper focuses on cell isolation logistics (tissue storage time) and cell characterization, not on culture medium composition, serum reduction, growth factors, or food-grade supplements. It lacks extractable quantitative or mechanistic detail on medium optimization, making it supplementary rather	In this study, we investigated if bovine satellite cells with the ability to proliferate and undergo myogenic differentiation could be isolated after extended tissue storage, for the purpose of increasing the practicality for cultured meat production.		deepseek-chat	20260715T010026
challenges-and-opportunities-in-cell-expansion-for-cultivated-meat	B	no	bioprocess	general/platform	no	This perspective paper discusses cell proliferation challenges and strategies broadly, but lacks extractable quantitative or mechanistic detail on culture medium composition, serum reduction, or food-grade supplements, making it supplementary rather than core for a medium-centered review.	Strategies for enhancing cell proliferation can be divided to manipulation of external conditions or cell-internal genetic and molecular factors. To date, much effort in this challenge focused on medium optimization and external conditions such as temperature and oxygen levels (11–13).		deepseek-chat	20260715T010026
characteristics-of-bovine-muscle-satellite-cell-from-different-breeds-for-effici	B	no	cell	muscle	yes	The paper compares breed-specific satellite cell performance for cultured meat but does not address culture medium composition, serum reduction, growth factors, or food-grade supplements. It is relevant as a cell-source selection study but supplementary to the medium-centered focus.	The purpose of this study was comparing in vitro performances of three breeds of donor satellite cells for cultured meat and selecting the optimal donor...		deepseek-chat	20260715T010026
comparative-analysis-of-skeletal-muscle-satellite-cells-from-hanwoo-steers-and-c	B	no	cell	muscle	yes	The paper compares cell sources (steer vs. cow) for proliferation and differentiation, but does not focus on culture medium optimization, serum reduction, or food-grade supplements. It lacks extractable quantitative or mechanistic detail on medium composition, making it supplementary rather than cor	This study aimed to compare the proliferation, differentiation rates, and related gene expression levels of skeletal muscle satellite cells (SMSCs) isolated from Hanwoo steers and cows to identify a suitable source for cell-based meat production.		deepseek-chat	20260715T010026
comparison-of-secreted-mirnas-and-proteins-during-proliferation-and-differentiat	B	no	cell	muscle	no	The paper maps secreted miRNAs and proteins during bovine satellite cell proliferation and differentiation, which is relevant to understanding myogenesis in a cultivated meat context, but it does not focus on culture medium optimization, serum reduction, or food-grade supplements, and lacks extracta	The aim of this study was to map the secretome of bovine muscle cells during both proliferation and differentiation, by determining the released miRNAs, peptides, and proteins into the media.		deepseek-chat	20260715T010026
culturing-characteristics-of-hanwoo-myosatellite-cells-and-c2c12-cells-incubated	B	no	cell	muscle	yes	The paper focuses on temperature effects on Hanwoo myosatellite cell proliferation and differentiation, but does not provide extractable quantitative or mechanistic detail on culture medium composition, serum reduction, growth factors, or food-grade supplements, which are the core focus of this medi	To improve culture efficiency of Hanwoo myosatellite cells, these cells were cultured at different temperatures.		deepseek-chat	20260715T010026
development-of-a-novel-japanese-eel-myoblast-cell-line-for-application-in-cultur	B	no	cell	seafood	no	The paper focuses on establishing a fish myoblast cell line for cultured meat, but provides limited extractable quantitative or mechanistic detail on culture medium composition, serum reduction, or growth factors, which are the core of this medium-centered project.	The cells showed strong myotube formation, particularly when cultured in a differentiation medium, indicating their robust potential for muscle development.		deepseek-chat	20260715T010026
developmental-ability-of-hanwoo-muscle-satellite-cells-under-culture-conditions	B	no	cell	muscle	no	The paper focuses on temperature and oxygen conditions mimicking in vivo environment for Hanwoo satellite cells, but does not address culture medium composition, serum reduction, growth factors, or food-grade supplements, which are the core focus of this medium-centered review.	The culture conditions consisted of CON (37°C/20% O2), T1 (37°C/2% O2), T2 (39°C/20% O2), and T3 (39°C/2% O2).		deepseek-chat	20260715T010026
effect-of-transforming-growth-factor-beta-receptor-i-inhibitors-on-myotube-forma	B	no	cell	muscle	no	The paper tests TGFβRI inhibitors on C2C12 myotube formation, which is relevant to muscle cell differentiation in cultivated meat, but it is framed entirely around muscle regeneration and anti-fibrotic therapy, not culture medium optimization or food-grade serum-free conditions. It lacks extractable	The aim of this study was to investigate the effect of five transforming growth factor-beta receptor I (TGFßRI) inhibitors on myotube formation in vitro; galunisertib, SM16, AZ12799734, SB431542 and IN1130.		deepseek-chat	20260715T010026
efficient-co-isolation-of-microvascular-endothelial-cells-and-satellite-cell-der	B	no	cell	muscle	no	The paper describes a cell co-isolation protocol for microvascular endothelial cells and myoblasts from human skeletal muscle, which is relevant to cultivated meat cell sourcing but provides no extractable quantitative or mechanistic detail on culture medium, serum reduction, growth factors, or food	Here, we describe a novel, detailed protocol for the co-isolation of human skeletal muscle microvascular endothelial cells and satellite cell-derived myoblasts. It incorporates an automated mechanical and enzymatic tissue dissociation followed by magnetically activated cell sorting based on a combin		deepseek-chat	20260715T010026
enhancing-skeletal-muscle-fiber-type-transition-through-substrate-coating-altera	B	no	scaffold	muscle	no	The paper focuses on ECM coating effects on muscle fiber type specification in C2C12 myoblasts, which is relevant to scaffold design for cultivated meat, but it is not centered on culture medium composition, serum reduction, or food-grade supplements, and the extractable value for medium-centered re	In this study, C2C12GFP myoblasts were differentiated into myofibers on plates coated with fibronectin, Collagen I, and Geltrex™... Collagen I promoted slow-type fibers development... fibronectin and Geltrex™ led to fast-type fiber development		deepseek-chat	20260715T010026
evaluation-of-biocompatible-materials-for-enhanced-mesenchymal-stem-cell-expansi	B	no	scaffold	general/platform	no	The paper explicitly mentions cultivated meat as an application and tests scaffolds (microcarriers, nanofibers) for MSC expansion, but the medium-centered focus is weak: no extractable quantitative data on medium composition, serum reduction, growth factors, or food-grade supplements. The scaffold e	This study evaluates two biocompatible materials—collagen-coated alginate microcarriers and polylactic-co-glycolic acid (PLGA) nanofibers—as novel growth substrates to enhance MSC proliferation.		deepseek-chat	20260715T010026
evaluation-of-the-effect-of-static-magnetic-fields-combined-with-human-hepatocyt	B	no	cell	muscle	no	The paper tests HGF and static magnetic fields on human satellite cells for muscle tissue engineering, but the medium-centered relevance is limited because the key finding is that HGF+SMF did not enhance myogenic maturation compared to growth factor reduction controls, and the study uses non-food-gr	HGF or HGF + SMF stimulation of human satellite cell cultures did not lead to the desired enhancement of myogenic maturation of human satellite cell cultures compared with cell cultures stimulated with growth factor reduction.		deepseek-chat	20260715T010026
evaluation-of-the-effects-of-different-culture-media-on-the-myogenic-differentia	B	no	medium	muscle	no	The paper systematically tests six culture media (including conditioned media) for myogenic differentiation of human MSCs, providing quantitative proliferation and gene expression data. However, it uses human cells for tissue engineering, not food-production-relevant species, and the media formulati	The aim of this study was to analyse the myogenic differentiation potential of human AT-MSCs and BM-MSCs cultured in six different cell culture media containing different mixtures of growth factors. ... The following cell culture media were used in our experiments: mesenchymal stem cell growth mediu		deepseek-chat	20260715T010026
gene-ontology-groups-and-signaling-pathways-regulating-the-process-of-avian-sate	B	no	cell	muscle	no	The paper focuses on transcriptomic comparison of adherent vs. suspension-cultured avian satellite cells and identifies signaling pathways (EIF2, mTOR, integrin, HIFα) relevant to differentiation. However, it provides no extractable quantitative data on medium composition, serum reduction, growth fa	The significantly regulated pathways included: EIF2, mTOR, GP6, integrin and HIFα signalling. Differential regulation of gene expression, as well as significant enrichment and modulation of pathway activity, suggest that suspension culture potentially promotes the ex vivo-associated loss of physiolo		deepseek-chat	20260715T010026
hgf-potentiates-extracellular-matrix-driven-migration-of-human-myoblasts-involve	B	borderline	medium	muscle	no	The paper provides mechanistic detail on HGF and ECM-driven myoblast migration, which is relevant to cultivated meat culture medium design, but it is focused on therapeutic cell transplantation and lacks food-grade or serum-reduction context, making it supplementary rather than core.	These data state that the mechanisms involved in the migration of human myoblasts comprise both soluble and insoluble moieties. This should be taken into account to optimize the design of therapeutic cell transplantation strategies by improving the migration of donor cells within the host tissue, a 		deepseek-chat	20260715T010026
human-skeletal-muscle-myoblast-culture-in-aligned-bacterial-nanocellulose-and-co	B	no	scaffold	muscle	no	The paper focuses on scaffold engineering (bacterial nanocellulose) and myoblast alignment/maturation under electrical stimulation, with no extractable quantitative or mechanistic detail on culture medium composition, serum reduction, growth factors, or food-grade supplements. It is supplementary to	We demonstrate engineering BNC-based scaffolds with tunable physical and mechanical properties through postprocessing. Human skeletal muscle myoblasts (HSMMs) were cultured on these scaffolds, and in vitro electrical stimulation was applied to promote cellular function for tissue engineering applica		deepseek-chat	20260715T010026
immortalized-bovine-satellite-cells-for-cultured-meat-applications	B	no	cell	muscle	no	The paper focuses on cell line immortalization (iBSCs) rather than culture medium composition, serum reduction, or food-grade supplements; it lacks extractable quantitative or mechanistic detail on medium optimization.	Here, we develop genetically immortalized bovine satellite cells (iBSCs) via constitutive expression of bovine Telomerase reverse transcriptase (TERT) and Cyclin-dependent kinase 4 (CDK4).		deepseek-chat	20260715T010026
impact-of-uniaxial-static-strain-on-myoblast-differentiation-in-collagen-coated	B	no	scaffold	muscle	no	The paper focuses on mechanical stimulation of myoblasts on a scaffold, not on culture medium composition, serum reduction, growth factors, or food-grade supplements. It lacks extractable quantitative or mechanistic detail relevant to medium-centered optimization.	This study investigated the use of mechanical stimulation to promote myogenic differentiation and enhance the functionality of bioengineered tissues. Specifically, it aimed to facilitate the differentiation of myoblasts within a three-dimensional scaffold using a defined pattern of mechanical stimul		deepseek-chat	20260715T010026
influence-of-gelatin-on-adhesion-proliferation-and-adipogenic-differentiation-of	B	no	scaffold	fat	no	The paper focuses on scaffold coating (gelatin on soy protein-agarose) for adipogenic differentiation of ADSCs, which is relevant to cultured fat production but is primarily a scaffold study with limited medium-centered detail. It lacks extractable quantitative data on medium composition, serum redu	This study investigated the effects of gelatin coating on the adhesion, proliferation, and adipogenic differentiation of adipose tissue-derived stem cells (ADSCs) cultured on soy protein–agarose scaffolds.		deepseek-chat	20260715T010026
integrated-multi-omics-characterization-of-cdk4htert-immortalized-ovine-satellit	B	no	cell	muscle	no	The paper focuses on cell line characterization and immortalization, not on culture medium composition, serum reduction, growth factors, or food-grade supplements. While relevant to cultivated meat, it lacks extractable quantitative or mechanistic detail on medium optimization, making it supplementa	Here, we establish and comprehensively characterize CDK4/hTERT immortalized ovine satellite cells using flow cytometry-based isolation and integrated transcriptomic-proteomic analysis.		deepseek-chat	20260715T010026
interleukin-1-stimulates-early-myogenesis-of-mouse-c2c12-myoblasts-the-impact-on	B	no	cell	muscle	no	The paper provides mechanistic detail on IL-1β effects on myogenesis in C2C12 cells, including ECM and IGFBP modulation, but uses serum-containing medium (10% FBS/DMEM) and does not address serum reduction, food-grade supplements, or culture medium optimization for cultivated meat. Its value is supp	Cell cultures were stained with antibodies against appropriate cyclins (green) and simultaneous nuclear staining with 7-AAD (red) was performed... The results represent the mean ± SD, with n = 12/treatment condition.		deepseek-chat	20260715T010026
investigating-the-impact-of-microplastics-on-fish-muscle-cell-proliferation-and	B	no	quality_characterization	seafood	no	The paper focuses on microplastic contamination as a food safety issue in cultivated meat, not on culture medium composition, serum reduction, growth factors, or food-grade supplements. It lacks extractable quantitative or mechanistic detail on medium optimization, making it supplementary rather tha	This study focused on Atlantic mackerel skeletal muscle cell lines to examine the effects of microplastic exposure... on cell performance including cell proliferation, cell viability, gene expression, and differentiation processes critical for cultivated meat production.		deepseek-chat	20260715T010026
laminin-521-maintains-differentiation-potential-of-mouse-and-human-satellite-cel	B	no	cell	muscle	yes	The paper focuses on extracellular matrix substrates for myogenic cell expansion, which is relevant to culture-medium optimization but does not directly address medium composition, serum reduction, growth factors, or food-grade supplements. It provides useful data on laminin 521 for maintaining diff	Laminin 521 supported increased proliferation in early phases of expansion and was the only substrate facilitating high-level fusion following eight passages in mouse myoblast cell cultures.		deepseek-chat	20260715T010026
low-intensity-pulsed-electromagnetic-field-stimulation-enhances-fusion-in-bovine	B	no	bioprocess	muscle	yes	The paper focuses on PEMF stimulation as a maturation tool for bovine myoblasts, which is relevant to cultivated meat but not centered on culture medium composition, serum reduction, growth factors, or food-grade supplements. It lacks extractable quantitative or mechanistic detail on medium optimiza	This study investigates its application to promote bovine myoblast differentiation and maturation for cultured meat production... PEMF stimulation duration and the effect of intermittent recovery were evaluated in terms of metabolic activity, differentiation markers, and structural characteristics		deepseek-chat	20260715T010026
mesenchymal-stem-cells-and-myoblast-differentiation-under-hgf-and-igf-1-stimulat	B	no	structured_tissue	muscle	no	The paper focuses on HGF and IGF-1 for myogenic differentiation in a tissue-engineering context, but it does not provide extractable quantitative or mechanistic detail on culture-medium composition, serum reduction, or food-grade supplements that would be core for a medium-centered review.	The effect of different concentrations of HGF and IGF-1 alone, as well as in combination, on myogenic differentiation was analysed... Even though, stimulation with HGF/IGF-1 does not seem essential for sufficient myogenic differentiation.		deepseek-chat	20260715T010026
myogenic-differentiation-of-primary-myoblasts-and-mesenchymal-stromal-cells-unde	B	no	medium	muscle	no	The paper tests serum-free myogenic differentiation on PCL-collagen I scaffolds, which is relevant to cultivated meat medium development, but it uses rat primary cells and focuses on clinical tissue engineering rather than food production. The serum-free medium (DMEM/Ham's F12 + Ultroser G) is not f	Differentiation media contained either AIM V, AIM V and Ultroser® G, DMEM/Ham's F12 and Ultroser® G, or donor horse serum (DHS) as a conventional differentiation medium. In 2D co-culture groups, highest upregulation of myogenic markers could be induced by serum-free medium containing DMEM/Ham's F12 		deepseek-chat	20260715T010026
myotubeadipocyte-powder-enriched-alginate-zein-hydrogels-support-myotube-alignme	B	no	scaffold	muscle-fat hybrid	yes	The paper focuses on scaffold development (alginate-zein hydrogels with myotube/adipocyte powders) and myotube alignment, not on culture medium composition, serum reduction, growth factors, or small molecules. It lacks extractable quantitative or mechanistic detail on medium optimization, making it 	This study aimed to develop a composite alginate–zein (Algi/zein) hydrogel enriched with myotube (MP) and adipocyte (AP) powders to provide a structural, biochemical, and potentially cultured-meat hydrogel.		deepseek-chat	20260715T010026
optimal-pre-plating-method-of-chicken-satellite-cells-for-cultured-meat-producti	B	no	cell	muscle	no	The paper focuses on optimizing a pre-plating method for chicken satellite cell purification, which is a cell-source processing step rather than a culture medium innovation. It lacks extractable quantitative or mechanistic detail on medium composition, serum reduction, growth factors, or food-grade 	To establish a pre-plating method of chicken satellite cells with high purity, pre-plating was performed under culture conditions of 37℃ and 41℃, and the pre-plating time was set from a total of 3 hours to 6 hours in consideration of the cell attachment time.		deepseek-chat	20260715T010026
optimizing-2d-in-vitro-differentiation-conditions-for-c2c12-murine-myoblasts-on	B	no	medium	general/platform	yes	The paper focuses on optimizing C2C12 differentiation on gelatin hydrogels using horse serum and supplements, but it is a murine cell line study aimed at disease modeling and basic muscle biology, not cultivated meat. It lacks direct relevance to culture medium development for food-grade, serum-free	Optimizing in vitro differentiation protocols for skeletal muscle cells is essential for producing mature, functional myotubes suitable for disease modeling and therapeutic screening.		deepseek-chat	20260715T010026
optimizing-muscle-satellite-cell-sources-for-cultured-meat-anatomical-origin-inf	B	no	cell	muscle	no	The paper focuses on cell source selection (anatomical origin of porcine satellite cells) and its effect on proliferation, differentiation, and myotube properties, but does not provide extractable quantitative or mechanistic detail on culture medium composition, serum reduction, growth factors, or f	We compared PMSCs from neck, back, and leg muscles to identify the optimal cell source for cultured meat. Transcriptomic analysis showed region-specific gene expression... Neck-derived PMSCs exhibited the highest proliferation, whereas back-derived PMSCs maintained the highest PAX7 and MYOD expressi		deepseek-chat	20260715T010026
pannexin-1-regulates-skeletal-muscle-regeneration-by-promoting-bleb-based-myobla	B	no	cell	muscle	no	The paper describes a fundamental mechanism of myoblast migration and fusion via Panx1/lipid signaling, but it does not address culture medium composition, serum reduction, growth factors, or food-grade supplements relevant to cultivated meat medium optimization.	Pannexin 1 regulates skeletal muscle regeneration by promoting bleb-based myoblast migration and fusion through a novel lipid based signaling mechanism		deepseek-chat	20260715T010026
physical-optimization-of-cell-proliferation-and-differentiation-using-spinner-fl	B	no	bioprocess	muscle	no	The paper focuses on physical optimization of spinner flask and microcarrier parameters for myoblast proliferation and differentiation, but provides no extractable quantitative or mechanistic detail on culture medium composition, serum reduction, growth factors, or food-grade supplements, which are 	the single-factor variable method was adopted to examine the influence of Cytodex1 microcarrier pretreatment, spinner flask reaction vessel, cell culture medium, serum and cell incubation, and other influencing factors on large-scale cell cultures		deepseek-chat	20260715T010026
plasma-activated-polydimethylsiloxane-microstructured-pattern-with-collagen-for	B	no	scaffold	muscle	yes	The paper focuses on PDMS scaffold micropatterning and collagen coating for myoblast alignment, which is relevant to scaffold design for cultivated meat, but it lacks extractable quantitative or mechanistic detail on culture medium, serum reduction, growth factors, or food-grade supplements, making 	We focused on polydimethylsiloxane (PDMS) as a substrate for replication, micropatterning, and construction of biologically active surfaces... we utilized mouse myoblasts (C2C12), and our results demonstrate that we achieved excellent cell alignment in conjunction with the development of a cytocompa		deepseek-chat	20260715T010026
regulatory-landscapes-of-muscle-satellite-cells-from-mechanism-to-application	B	no	cell	muscle	yes	The paper is a broad review of muscle satellite cell biology and heterogeneity, with only brief mention of cultured meat as an application. It lacks extractable quantitative or mechanistic detail on culture medium composition, serum reduction, growth factors, or food-grade supplements, making it sup	This review explores the mechanisms that govern SC activation, proliferation, and commitment, and emphasizes their functional heterogeneity across anatomical regions... including cultured meat production.		deepseek-chat	20260715T010026
ribosome-incorporation-transdifferentiates-chick-primary-cells-and-induces-their	B	no	medium	muscle	no	The paper describes a novel transdifferentiation method using ribosome incorporation and the CulNet system for cultured chicken meat, but it lacks extractable quantitative or mechanistic detail on culture medium composition, serum reduction, or growth factor replacement that would make it core for a	the culture medium supernatant from ribosome-incorporated CMCs was found to significantly enhance CMC's proliferation... we developed a novel technological shift in meat production—the 'CulNet System'—which replicates organ interactions within mechanical systems for cell-cultured meat production... 		deepseek-chat	20260715T010026
